price,bedrooms,bathrooms,latitude,longitude,property_type,tenure,listing_update_reason,summary,url
275000,1,1.0,51.488014,-3.198532,Apartment,SHARE_OF_FREEHOLD,new,"A superb opportunity to acquire a brand new, fully renovated & high specification apartment situated on one of the highest regarded roads in Cardiff. This is an exciting development of one of eight luxury apartments in this well-established and highly-regarded conversion. This ...",https://www.rightmove.co.uk/properties/155593790#/?channel=RES_BUY
260000,3,1.0,51.501182,-3.186032,Terraced,FREEHOLD,price_reduced,"Situated in this popular location, within walking distance from the University Hospital of Wales. This spacious three-bedroom bay-fronted terrace house that would be an ideal investment property. With excellent transport links and good distance to the City Centre, the property has 3 reception ro...",https://www.rightmove.co.uk/properties/86962188#/?channel=RES_BUY
475000,4,3.0,51.526886,-3.371975,Detached,FREEHOLD,price_reduced,"A stunning family home in the leafy Newmill Gardens area of Miskin. This larger than average four bed detached house is situated in a sought after location within the Y Pant catchment, ideal for growing families",https://www.rightmove.co.uk/properties/163430396#/?channel=RES_BUY
225000,3,1.0,51.405834,-3.264039,Terraced,SHARE_OF_FREEHOLD,new,"Spacious Mid-Terrace Home in the Heart of Barry Situated in the heart of Barry on St. Marys Avenue, this charming mid-terrace home offers an ideal blend of comfort, character and convenience. With three generously sized bedrooms and two welcoming reception rooms, the property is perfect ...",https://www.rightmove.co.uk/properties/164178542#/?channel=RES_BUY
210000,3,1.0,51.49696,-3.2515,Semi-Detached,FREEHOLD,new,"A three bedroom mid-terrace property in Fairwater, benefiting from large front and rear gardens, two reception rooms, spacious kitchen, three good size bedrooms and a family bathroom with a separate WC. Only minutes from local amenities.",https://www.rightmove.co.uk/properties/164178053#/?channel=RES_BUY
440000,3,1.0,51.51132,-3.17057,Semi-Detached,FREEHOLD,new,"Tathams are proud to present this 3-bedroom semi-detached property, located in the desirable area of Lakeside, Cardiff.",https://www.rightmove.co.uk/properties/162526181#/?channel=RES_BUY
310000,2,1.0,51.445941,-3.176008,Semi-Detached,FREEHOLD,new,Superbly located within the Marina is this modern semi detached waterfront property boasting spectacular water views over the adjacent lake towards Cardiff Bay & beyond. For sale with no chain and immediate occupation. Found in good order throughout. Briefly comprising an entrance porch...,https://www.rightmove.co.uk/properties/164178002#/?channel=RES_BUY
400000,3,1.0,51.531386,-3.211166,Semi-Detached,FREEHOLD,new,*Enviably located and spacious 3 bedroom semi-detached home in Rhiwbina* Edwards and Co are delighted to offer for sale this very-well presented family sized and Freehold property located close to all local amenities and ideally placed for Llanishen Fach Primary Schools and the shops nearby.,https://www.rightmove.co.uk/properties/164176454#/?channel=RES_BUY
350000,2,1.0,51.483226,-3.205392,House,FREEHOLD,new,"Located in the heart of Canton on Glamorgan Street, this charming traditional mid-terrace house offers a delightful blend of modern comfort and classic character. Spanning an impressive 830 square feet, the property features two spacious double bedrooms, making it an ideal choice for couples, sma...",https://www.rightmove.co.uk/properties/164174936#/?channel=RES_BUY
260000,2,1.0,51.489498,-3.166547,Terraced,FREEHOLD,new,"Located in Roath in the vibrant city of Cardiff, this charming traditional mid-terrace house offers a delightful blend of comfort and style. Spanning an impressive 1,097 square feet, the property features two spacious double bedrooms, perfect for families or those seeking extra space for guests. ...",https://www.rightmove.co.uk/properties/164174498#/?channel=RES_BUY
229950,2,1.0,51.447597,-3.187392,Apartment,LEASEHOLD,price_reduced,"**WATERFRONT APARTMENT* STUNNING VIEWS* NO CHAIN** MGY are pleased to present for sale this bright and spacious, two bedroom, ground floor apartment located within the highly sought after development 'The Anchorage' in Penarth. Situated on the Marina, within walking distance to restaurants, Tesco...",https://www.rightmove.co.uk/properties/161484995#/?channel=RES_BUY
250000,3,1.0,51.443244,-3.18792,Terraced,FREEHOLD,new,"Spacious mid terrace for sale with no on-going chain and immediate occupation. Benefitting from a modern fitted kitchen - under floor heating and fully integrated - fridge, freezer, washer/drier plus built in double oven, hob & hood plus a modern bathroom with shower. Would require some cosmetic ...",https://www.rightmove.co.uk/properties/164174123#/?channel=RES_BUY
479950,4,2.0,51.44728,-3.265389,Detached,FREEHOLD,new,"A spacious bright and light four bedroom detached family house, situated in a quiet cul de sac in the centre of the village of Wenvoe. The property requires some upgrading. Comprises hallway, wc, lounge, dining room, kitchen, first floor landing, three good size double bedrooms and one single b...",https://www.rightmove.co.uk/properties/164174108#/?channel=RES_BUY
215000,2,2.0,51.476622,-3.165019,Flat,LEASEHOLD,price_reduced,"Taylors are pleased to be offering this larger than average executive elevated ground floor apartment. Located a stone's throw away from Cardiff City Centre and a fifteen minute walk to the Waterfront at Mermaid Quay with its bars, restaurants, cinema and the Wales Millennium Centre. The property...",https://www.rightmove.co.uk/properties/153202700#/?channel=RES_BUY
300000,3,1.0,51.476882,-3.273654,Semi-Detached,FREEHOLD,new,"Tucked away in a quiet cul-de-sac in the ever-popular location of St Fagans, this beautifully modernised three-bedroom semi-detached home is ready for its next owners to move straight in. Thoughtfully updated and modernised throughout by the current owners, the property boasts a bright a...",https://www.rightmove.co.uk/properties/164181128#/?channel=RES_BUY
210000,2,1.0,51.49035,-3.15956,Flat,LEASEHOLD,new,"Welcome to Princes Street, a top floor, two bedroom share of freehold flat on the edge of Cardiff City Centre sold on Princes Street. 900 + years remaining on the lease with low charges in a very popular location. A perfect first time purchase or investment opportunity.",https://www.rightmove.co.uk/properties/164169434#/?channel=RES_BUY
250000,2,2.0,51.49621,-3.14891,Terraced,FREEHOLD,price_reduced,"Welcome to Fford Nowell, this spacious, well presented two bedroom mid terrace house sold in the Popular area of Penylan is a must see. featuring two spacious bedrooms, two toilets, south facing garden and detached garage with additional driveway! Close to amenities and wellness facilities.",https://www.rightmove.co.uk/properties/161462459#/?channel=RES_BUY
350000,4,2.0,51.592622,-3.224352,Semi-Detached,FREEHOLD,new,**BEAUTIFULLY PRESENTED**LARGE PLOT**GREAT LOCATION**RARELY AVAILABLE**SPACIOUS KITCHEN DINER**MULTIPLE RECEPTION ROOMS**LARGE CONSERVATORY**FOUR BEDROOMS**TWO BATHROOMS & WC**LARGE GARDEN**DRIVEWAY**LKP are delighted to bring this beautiful larger-than-average four-bedroom property to the ma...,https://www.rightmove.co.uk/properties/164168495#/?channel=RES_BUY
285000,2,1.0,51.495437,-3.170915,Terraced,FREEHOLD,new,"***LAUNCH DAY SATURDAY 12TH JULY BY APPOINTMENT ONLY*** A beautifully presented two double bedroom, bay fronted terrace, conveniently located in close proximity to a variety of amenities, parks and gardens. The accommodation comprises entrance hall, bay front lounge dining ...",https://www.rightmove.co.uk/properties/164166029#/?channel=RES_BUY
215000,2,1.0,51.473861,-3.274093,Terraced,FREEHOLD,price_reduced,"A immaculately presented two double bedroom mid-terrace house finished to a high modern standard throughout and is ready for the next occupier to move straight in. Perfect for first-time buyers or as a buy-to-let investment, the property offers a stylish and comfortable living space. The...",https://www.rightmove.co.uk/properties/162471620#/?channel=RES_BUY
