price,bedrooms,bathrooms,address,property_type,url
245000,2,1.0,"Marlborough Road, Penylan, Cardiff, CF23",Apartment,https://www.rightmove.co.uk/properties/162671540#/?channel=RES_BUY
380000,6,2.0,"Craiglee Drive, Cardiff, CF10",Semi-Detached,https://www.rightmove.co.uk/properties/152592866#/?channel=RES_BUY
200000,3,1.0,"Cannington Avenue, Llanrumney, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164156333#/?channel=RES_BUY
305000,2,1.0,"Lozelles Gardens, Church Road, Lisvane, Cardiff",Flat,https://www.rightmove.co.uk/properties/158738441#/?channel=RES_BUY
250000,3,1.0,"Moorland Road, Cardiff",Terraced,https://www.rightmove.co.uk/properties/163305434#/?channel=RES_BUY
325000,2,1.0,"Glamorgan Street, Canton, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164150612#/?channel=RES_BUY
425000,5,2.0,"Sycamore Crescent, Barry",Detached,https://www.rightmove.co.uk/properties/164150585#/?channel=RES_BUY
300000,3,1.0,"St Illtyds Road, Church Village, Pontypridd, CF38",Detached Bungalow,https://www.rightmove.co.uk/properties/164148746#/?channel=RES_BUY
250000,2,1.0,"Waterloo Road, Penylan, Cardiff, CF23",Apartment,https://www.rightmove.co.uk/properties/164143550#/?channel=RES_BUY
425000,4,2.0,"Eddie Williams Road, Newport, NP10",Detached,https://www.rightmove.co.uk/properties/164143523#/?channel=RES_BUY
300000,4,2.0,"Edmundsbury Road, Newport",Semi-Detached,https://www.rightmove.co.uk/properties/164143355#/?channel=RES_BUY
290000,3,1.0,"Caldicot Court, CAERPHILLY",Semi-Detached,https://www.rightmove.co.uk/properties/164140196#/?channel=RES_BUY
220000,2,2.0,"Trem Elai, Penarth",Flat,https://www.rightmove.co.uk/properties/161713508#/?channel=RES_BUY
485000,4,2.0,"Homelands Road, Rhiwbina, Cardiff",Semi-Detached,https://www.rightmove.co.uk/properties/164139038#/?channel=RES_BUY
295000,3,1.0,"Carmarthen Drive, Tonteg, Pontypridd, CF38",Detached,https://www.rightmove.co.uk/properties/164139149#/?channel=RES_BUY
210000,2,,"Beechwood Drive, Llantwit Fardre, CF38 2PJ",Semi-Detached,https://www.rightmove.co.uk/properties/162318059#/?channel=RES_BUY
360000,3,1.0,"Westmoreland Street, Cardiff",Terraced,https://www.rightmove.co.uk/properties/164136665#/?channel=RES_BUY
375000,5,2.0,"Nelson Road, Barry",Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/164133245#/?channel=RES_BUY
230000,3,1.0,"Blackbirds Way, St. Mellons, Cardiff",Semi-Detached,https://www.rightmove.co.uk/properties/163098860#/?channel=RES_BUY
425000,4,1.0,"Neville Place, Cardiff",House,https://www.rightmove.co.uk/properties/164131388#/?channel=RES_BUY
210000,3,1.0,"Cora Street, Barry",Terraced,https://www.rightmove.co.uk/properties/164130377#/?channel=RES_BUY
265000,3,1.0,"Romilly Crescent, Cardiff",Apartment,https://www.rightmove.co.uk/properties/164129306#/?channel=RES_BUY
480000,4,1.0,"Pen-yr-Allt, Caerphilly, CF83 1NP",Link Detached House,https://www.rightmove.co.uk/properties/164129216#/?channel=RES_BUY
205000,1,1.0,"Victoria Mews, Heath, Cardiff",Maisonette,https://www.rightmove.co.uk/properties/164128613#/?channel=RES_BUY
325000,3,1.0,"Coed Glas Road, Llanishen, Cardiff",Semi-Detached,https://www.rightmove.co.uk/properties/164127815#/?channel=RES_BUY
200000,2,2.0,"Brynteg Green, Beddau, Pontypridd, CF38 2QA",Semi-Detached,https://www.rightmove.co.uk/properties/164127509#/?channel=RES_BUY
365000,3,1.0,"Salop Street, Penarth",Terraced,https://www.rightmove.co.uk/properties/164125859#/?channel=RES_BUY
230000,2,2.0,"Davaar House, Cardiff",Apartment,https://www.rightmove.co.uk/properties/164125391#/?channel=RES_BUY
